Ph-ID,Culture,Ph_cid,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,Active
167,Inuinnait,14070,4,1,2,5,2,3,1,5,1,1,0,0,1,1,0,1,1,1,2,0,1,0,1,4,3,0,1,1,1,0,1,3,1,2,0,4,0,3,1,3,1,3,2,3,3,3,3,3,5,6,2,1
168,Inuinnait,14070,4,1,1,4,2,3,1,7,1,1,0,0,0,0,0,0,0,1,1,0,2,0,1,4,3,0,1,1,1,0,0,3,1,4,0,4,0,2,2,3,1,3,2,3,2,3,4,3,4,6,2,1
169,Inuinnait,14070,5,1,1,4,3,3,1,6,1,1,0,0,0,0,0,0,0,1,1,0,2,0,1,4,3,0,1,1,1,0,0,3,1,2,0,4,0,2,2,3,1,3,2,3,3,3,4,3,4,6,2,1
170,Inuinnait,14070,3,1,1,5,3,3,1,6,1,1,0,0,0,0,0,0,0,1,1,0,1,0,2,3,4,0,1,1,1,0,0,3,2,1,0,4,0,3,2,3,1,3,3,3,1,3,5,2,4,6,2,1
171,Inuinnait,14070,4,1,1,4,3,3,1,6,1,1,0,0,0,0,0,0,0,1,1,0,2,0,1,4,3,0,1,1,1,0,0,3,1,2,0,4,0,2,2,3,1,3,1,3,3,3,4,3,4,6,2,1
172,Inuinnait,14070,3,1,2,5,1,4,1,5,1,1,0,0,1,1,0,1,1,1,1,0,4,0,0,2,3,0,0,0,1,0,1,4,0,2,0,4,0,3,2,3,1,3,2,3,3,3,4,1,4,6,2,1
173,Inuinnait,14070,4,1,1,4,3,2,1,7,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,4,3,0,1,2,1,0,0,3,2,1,0,4,0,2,3,3,1,3,1,3,2,3,6,1,4,5,2,1
174,Inuinnait,14070,4,1,1,4,2,3,1,6,1,1,0,0,0,0,0,0,0,2,1,0,1,0,1,4,3,0,1,1,1,0,0,4,1,2,0,4,0,2,1,3,1,3,2,3,3,4,4,1,4,5,2,1
175,Inuinnait,14070,3,1,2,5,1,3,1,6,1,1,0,0,1,1,0,1,1,1,2,0,1,0,0,3,4,0,0,0,1,0,1,3,0,2,0,4,0,1,2,3,1,3,3,3,1,3,5,3,4,5,2,1
176,Inuinnait,14070,5,1,1,4,1,3,1,6,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,4,3,0,0,0,1,0,0,3,0,2,0,4,0,2,2,3,1,3,1,3,2,3,5,2,3,6,2,1
179,Hokkaido Ainu,16809,4,1,1,3,1,6,1,5,1,1,0,0,0,0,0,0,0,4,2,0,1,0,0,3,1,0,0,0,1,0,0,2,0,4,0,3,0,1,1,3,1,3,3,3,3,3,3,3,3,5,2,1
